ID,Lane,Length,Netin,Netout,Loc,Dir,S_in,L_in,R_in,S_out,L_out,R_out,x0,y0,x1,y1
C12400149012,1,70,True,True,0,0,C12400149011,0,0,C12400149013,0,0,213221.598081,549689.963181,213291.364163,549687.628462
C12400149013,1,70,True,True,0,0,C12400149012,0,0,C12400149014,0,0,213291.364163,549687.628462,213361.130244,549685.293744
C12400149014,1,70,True,True,1,1,C12400149013,0,0,C12400145001,0,0,213361.130244,549685.293744,213477.9433,549681.3846
C12400083021,2,70,True,True,1,2,C12400109023,C12400407008,C12400008027,C12400083022,C12400407008,0,213462.067,548755.3878,213440.627431,548688.755026
C12400083022,2,70,True,True,0,0,C12400083021,0,0,C12400083023,0,0,213440.627431,548688.755026,213419.187862,548622.122253
C12400083023,2,70,True,True,0,0,C12400083022,0,0,C12400083024,0,0,213419.187862,548622.122253,213397.748294,548555.489479
C12400083024,2,70,True,True,0,0,C12400083023,0,0,C12400083025,0,0,213397.748294,548555.489479,213376.308725,548488.856705
C12400083025,2,70,True,True,0,0,C12400083024,0,0,C12400083026,0,0,213376.308725,548488.856705,213354.869156,548422.223932
C12400083026,2,70,True,True,0,0,C12400083025,0,0,C12400083027,0,0,213354.869156,548422.223932,213333.429587,548355.591158
C12400083027,2,70,True,True,0,0,C12400083026,0,0,C12400083028,0,0,213333.429587,548355.591158,213311.990019,548288.958384
C12400083028,2,70,True,True,0,0,C12400083027,0,0,C12400083029,0,0,213311.990019,548288.958384,213290.55045,548222.325611
C12400083029,2,70,True,True,0,0,C12400083028,0,0,C124000830210,0,0,213290.55045,548222.325611,213269.110881,548155.692837
C124000830210,2,70,True,True,0,0,C12400083029,0,0,C124000830211,0,0,213269.110881,548155.692837,213247.671312,548089.060063
C124000830211,2,70,True,True,0,0,C124000830210,0,0,C124000830212,0,0,213247.671312,548089.060063,213226.231744,548022.42729
C124000830212,2,70,True,True,0,0,C124000830211,0,0,C124000830213,0,0,213226.231744,548022.42729,213204.792175,547955.794516
C124000830213,2,70,True,True,0,0,C124000830212,0,0,C124000830214,0,0,213204.792175,547955.794516,213183.352606,547889.161742
