LINK_ID,F_NODE,T_NODE,ROAD_USE,LANES,MAX_SPD,x0,y0,x1,y1,Length,NumCell,CellLen
1240007202,1240010700,1240002900,0,1,60,211556.4542,547590.7449,211657.7281,547856.1887,284.1065747,3,70
1240008002,1240012000,1240012300,0,1,40,211589.4572,547886.8834,211476.4247,547926.0405,119.622646,3,70
1240007902,1240012300,1240012000,0,1,40,211472.4967,547914.7016,211585.5292,547875.5445,119.6226461,3,70
1240007901,1240012000,1240002900,0,2,40,211585.4904,547875.5581,211650.1194,547852.6716,68.5615331,3,70
1240008001,1240002900,1240012000,0,2,40,211654.1251,547863.9833,211589.4961,547886.8698,68.56153302,3,70
1240007801,1240011000,1240011600,0,1,40,212079.9153,547715.107,211840.6964,547799.1914,253.5658512,3,70
1240007701,1240011600,1240011000,0,2,40,211836.7171,547787.8704,212075.9361,547703.786,253.5659458,3,70
1240007802,1240011600,1240002900,0,1,40,211840.6751,547799.1988,211654.0906,547863.9954,197.5151685,3,70
1240007702,1240002900,1240011600,0,1,40,211650.1539,547852.6595,211836.7384,547787.8629,197.5151687,3,70
1240001302,1230057200,1230057100,0,5,100,209805.5073,549301.3438,210855.5694,548818.4239,1167.390471,3,70
1240008101,1240013600,1240011000,0,5,60,212242.255,548283.4612,212072.1743,547711.1558,597.0423917,3,70
1240008201,1240011000,1240013600,0,5,60,212083.6771,547707.7373,212253.7578,548280.0428,597.0424855,3,70
1240005905,1240011000,1240009800,0,5,60,212072.1767,547711.1638,211903.0654,547142.4041,593.3691155,3,70
1240006005,1240009800,1240011000,0,5,60,211914.5773,547139.0165,212083.6747,547707.7292,593.3922313,3,70
1240029800,1240008300,1240009400,0,1,30,212359.3863,546883.3378,212487.772,547327.6883,462.5250711,3,70
1240029900,1240009400,1240008300,0,1,30,212476.2436,547331.0192,212347.8579,546886.6687,462.5250727,3,70
1240006600,1240010400,1240011000,0,1,30,212549.5267,547552.9386,212079.8842,547715.1179,496.8553884,3,70
1240006500,1240011000,1240010400,0,1,30,212075.9672,547703.7752,212545.6098,547541.5958,496.8555162,3,70
1240006200,1240009700,1240009900,0,1,30,213028.6278,547391.164,212795.5044,547467.7713,245.3873465,3,70
1240006100,1240009900,1240009700,0,1,30,212791.7581,547456.3711,213024.8815,547379.7637,245.387378,3,70
1240006400,1240009900,1240010400,0,1,30,212795.5943,547467.741,212549.5313,547552.937,260.3941034,3,70
1240006300,1240010400,1240009900,0,1,30,212545.6052,547541.5974,212791.6681,547456.4014,260.3940092,3,70
1240007001,1240009900,1240011200,0,1,40,212799.1318,547464.4679,212670.0148,547760.8018,323.240719,3,70
1240006901,1240011200,1240009900,0,1,40,212659.0138,547756.0085,212788.1307,547459.6745,323.2407718,3,70
1240007600,1240010400,1240011700,0,1,30,212553.2615,547545.3732,212641.6325,547811.0154,279.955185,3,70
1240007500,1240011700,1240010400,0,1,30,212630.246,547814.8034,212541.875,547549.1612,279.955186,3,70
1240000601,1240014600,1240014700,0,5,60,211871.444,548433.3349,211812.1772,548458.2058,64.27364093,3,70
1240044600,1240004200,1240020500,0,1,50,210780.3917,549620.7764,210871.9791,549921.6597,314.5181838,3,70
